,Brand_n_Model,Variant,Year,Kilometers,No_of_owners,Fuel,Price
460,Toyota Etios Liva 1.4 GD,1.4 GD,2016,"91,851 kms",First Owner,Diesel,5.5 Lakh*
461,Volkswagen Vento Diesel Highline,Diesel Highline,2012,"62,000 kms",First Owner,Diesel,5 Lakh*
462,Volkswagen Vento Diesel Highline,Diesel Highline,2013,"83,000 kms",Second Owner,Diesel,5.25 Lakh*
463,Tata Manza Aura Quadrajet BS IV,Aura Quadrajet BS IV,2012,"82,127 kms",First Owner,Diesel,2.2 Lakh*
464,Ford EcoSport Titanium Diesel,Titanium Diesel,2015,"73,100 kms",First Owner,Diesel,5.85 Lakh*
465,Tata Sumo DI EX 7/9 Str BSIII,DI EX 7/9 Str BSIII,2012,"80,000 kms",Second Owner,Diesel,2.4 Lakh*
466,Maruti Baleno Delta 1.2,1.2 Delta,2018,"15,000 kms",First Owner,Petrol,6.5 Lakh*
467,Porsche Cayenne Diesel,Diesel,2014,"95,000 kms",First Owner,Diesel,45 Lakh*
468,Toyota Innova Crysta 2016-2020 2.8 AT Touring Sport BSIV,2.8 AT Touring Sport BSIV,2017,"81,000 kms",First Owner,Diesel,20 Lakh*
469,Maruti Eeco 5 Seater AC BSIV,5 Seater AC BSIV,2019,"5,000 kms",First Owner,Petrol,4.65 Lakh*
470,Volvo S 80 D5,D5,2010,"90,000 kms",Second Owner,Diesel,8 Lakh*
471,Chevrolet Enjoy Petrol LS 8 Seater,Petrol LS 8 Seater,2013,"70,000 kms",First Owner,Petrol,4 Lakh*
472,Hyundai EON Era Plus Option,Era Plus Option,2016,"41,671 kms",First Owner,Petrol,3.33 Lakh*
473,BMW 3 Series 320d GT Luxury Line,320d GT Luxury Line,2015,"55,000 kms",First Owner,Diesel,25.5 Lakh*
474,Maruti Baleno LXI,LXI,2006,"59,313 kms",Third Owner,Petrol,1.4 Lakh*
475,Maruti Swift Dzire Tour 2012-2018 LDI,LDI,2016,"1,35,000 kms",First Owner,Diesel,5.5 Lakh*
476,Ford Figo Diesel ZXI,Diesel ZXI,2012,"98,447 kms",First Owner,Diesel,2.7 Lakh*
477,Maruti Esteem VX,VX,2000,"45,000 kms",Second Owner,Petrol,1 Lakh*
478,Maruti Swift Dzire LXi,LXi,2011,"70,000 kms",Second Owner,Petrol,3 Lakh*
479,Ford Figo Diesel Titanium,Diesel Titanium,2014,"68,000 kms",Second Owner,Diesel,3.3 Lakh*
480,Toyota Etios G,G,2015,"80,000 kms",First Owner,Petrol,4.25 Lakh*
481,Hyundai i20 Sportz 1.4 CRDi,Sportz 1.4 CRDi,2016,"81,700 kms",First Owner,Diesel,6.1 Lakh*
482,Mahindra XUV500 2011-2015 W8 FWD,W8 FWD,2015,"54,500 kms",First Owner,Diesel,9.5 Lakh*
483,Toyota Corolla Altis GL,GL,2008,"44,000 kms",First Owner,Petrol,4.25 Lakh*
484,Land Rover Discovery Sport TD4 HSE 7S,TD4 HSE 7S,2016,"45,000 kms",First Owner,Diesel,36 Lakh*
485,Honda Brio S MT,S MT,2013,"80,100 kms",Second Owner,Petrol,3.2 Lakh*
486,Renault Duster 110PS Diesel RxL,110PS Diesel RxL,2014,"31,000 kms",First Owner,Diesel,6.75 Lakh*
487,Tata Harrier XZA Plus AT,XZA Plus AT,2021,"2,500 kms",First Owner,Diesel,25 Lakh*
488,Mahindra Scorpio 2009-2014 VLX 4WD 7S BSIV,VLX 4WD 7S BSIV,2012,"1,20,000 kms",First Owner,Diesel,6.25 Lakh*
489,Hyundai Verna Transform CRDi VGT ABS,Transform CRDi VGT ABS,2010,"1,10,000 kms",Second Owner,Diesel,2.95 Lakh*
490,Hyundai Santro Xing XO,XO,2006,"58,318 kms",First Owner,Petrol,1.6 Lakh*
491,Skoda Rapid 1.5 TDI Ambition Plus,1.5 TDI Ambition Plus,2016,"52,000 kms",First Owner,Diesel,6.6 Lakh*
492,Toyota Fortuner 4x2 AT,4x2 AT,2016,"1,55,000 kms",First Owner,Diesel,19.5 Lakh*
493,Volkswagen Ameo 1.5 TDI Highline AT,1.5 TDI Highline AT,2017,"31,490 kms",First Owner,Diesel,6.75 Lakh*
494,--,Petrol ZXI,--,--,--,--,--
495,--,Xi (Petrol),--,--,--,--,--
496,--,Monte Carlo 1.6 MPI BSIV,--,--,--,--,--
497,Honda WR-V i-DTEC VX,i-DTEC VX,2017,"46,000 kms",First Owner,Diesel,8.75 Lakh*
498,Hyundai i10 Sportz,Sportz,2015,"54,000 kms",First Owner,Petrol,3.9 Lakh*
499,Hyundai i20 1.4 CRDi Magna,1.4 CRDi Magna,2011,"66,000 kms",Second Owner,Diesel,3.45 Lakh*
500,Toyota Innova 2.5 G (Diesel) 7 Seater,2.5 G (Diesel) 7 Seater,2014,"65,000 kms",First Owner,Diesel,12 Lakh*
501,Hyundai Xcent 1.1 CRDi SX Option,1.1 CRDi SX Option,2014,"55,000 kms",First Owner,Diesel,5.5 Lakh*
502,Honda WR-V i-VTEC S,i-VTEC S,2018,"22,000 kms",First Owner,Petrol,8.1 Lakh*
503,BMW 7 Series 730Ld,730Ld,2016,"40,000 kms",First Owner,Diesel,65 Lakh*
504,Skoda Rapid 1.6 MPI AT Elegance,1.6 MPI AT Elegance,2015,"42,000 kms",First Owner,Petrol,6.3 Lakh*
505,Mahindra XUV500 W11 AT BSIV,W11 AT BSIV,2018,"45,000 kms",First Owner,Diesel,17.75 Lakh*
506,Hyundai Verna 1.6 CRDi EX AT,1.6 CRDi EX AT,2013,"46,000 kms",First Owner,Diesel,6.25 Lakh*
507,Skoda Superb Elegance 2.0 TDI CR AT,Elegance 2.0 TDI CR AT,2013,"1,06,000 kms",First Owner,Diesel,12.9 Lakh*
508,Hyundai i10 Sportz 1.2,Sportz 1.2,2015,"33,421 kms",First Owner,Petrol,3.5 Lakh*
509,Toyota Innova 2.5 GX (Diesel) 7 Seater,2.5 GX (Diesel) 7 Seater,2014,"1,20,000 kms",First Owner,Diesel,11.5 Lakh*
510,Volkswagen Polo Petrol Comfortline 1.2L,Petrol Comfortline 1.2L,2013,"67,200 kms",First Owner,Petrol,4.25 Lakh*
511,Hyundai Grand i10 CRDi Sportz,CRDi Sportz,2014,"41,000 kms",First Owner,Diesel,4.85 Lakh*
512,Toyota Corolla Altis D-4D G,D-4D G,2014,"1,40,000 kms",First Owner,Diesel,8.5 Lakh*
513,Maruti Ritz VXI,VXI,2010,"15,000 kms",First Owner,Petrol,2.9 Lakh*
514,BMW 5 Series 520d,520d,2010,"90,000 kms",Third Owner,Diesel,7.5 Lakh*
515,Toyota Innova 2.5 V Diesel 8-seater,2.5 V Diesel 8-seater,2011,"1,02,000 kms",Second Owner,Diesel,8.9 Lakh*
516,Ford Figo Petrol Celebration Edition,Petrol Celebration Edition,2013,"80,000 kms",First Owner,Petrol,2.2 Lakh*
517,Toyota Platinum Etios 1.4 VXD,1.4 VXD,2015,"89,000 kms",Second Owner,Diesel,6.5 Lakh*
518,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2016,"62,576 kms",First Owner,Petrol,5.75 Lakh*
519,Toyota Innova 2.5 V Diesel 7-seater,2.5 V Diesel 7-seater,2009,"2,06,000 kms",First Owner,Diesel,7.5 Lakh*
520,Hyundai i10 Magna 1.1,Magna 1.1,2010,"52,000 kms",Second Owner,Petrol,2.5 Lakh*
521,Hyundai i20 Sportz 1.4 CRDi,Sportz 1.4 CRDi,2013,"70,436 kms",Second Owner,Diesel,3.75 Lakh*
522,Renault Duster 85PS Diesel RxL,85PS Diesel RxL,2013,"60,000 kms",Second Owner,Diesel,4.5 Lakh*
523,Maruti Swift ZDI BSIV,ZDI BSIV,2015,"40,000 kms",First Owner,Diesel,5.75 Lakh*
524,Maruti Baleno Delta 1.2,1.2 Delta,2017,"70,000 kms",First Owner,Petrol,5.5 Lakh*
525,Maruti Swift Dzire Tour S,S,2018,"50,000 kms",First Owner,CNG,5.35 Lakh*
526,Ford Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2013,"1,50,000 kms",First Owner,Diesel,3 Lakh*
527,Ford Figo Diesel Titanium,Diesel Titanium,2010,"70,000 kms",Third Owner,Diesel,2.65 Lakh*
528,Maruti Swift Dzire VXI,VXI,2013,"66,500 kms",First Owner,Petrol,4.75 Lakh*
529,Skoda Superb 2.8 V6 AT,2.8 V6 AT,2011,"1,28,000 kms",First Owner,Petrol,6.5 Lakh*
530,Hyundai i20 1.2 Spotz,1.2 Spotz,2010,"64,325 kms",First Owner,Petrol,3.4 Lakh*
531,Hyundai Grand i10 1.2 Kappa Asta,1.2 Kappa Asta,2018,"41,000 kms",Second Owner,Petrol,4.8 Lakh*
532,Hyundai i10 Era,Era,2012,"64,900 kms",First Owner,Petrol,2.85 Lakh*
533,Maruti Celerio VXI AT,VXI AT,2016,"11,000 kms",First Owner,Petrol,4.8 Lakh*
534,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2012,"44,000 kms",First Owner,Petrol,2.25 Lakh*
535,Audi Q5 2.0 TDI,2.0 TDI,2012,"75,001 kms",Second Owner,Diesel,13.5 Lakh*
536,Volkswagen Polo 1.5 TDI Highline,1.5 TDI Highline,2013,"80,000 kms",Second Owner,Diesel,3.75 Lakh*
537,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,2.8 4WD AT BSIV,2017,"45,000 kms",First Owner,Diesel,30 Lakh*
538,Maruti Swift 1.3 VXI ABS,1.3 VXI ABS,2007,"1,60,000 kms",Third Owner,Petrol,1.8 Lakh*
539,Mercedes-Benz A Class A180 CDI,A180 CDI,2014,"48,000 kms",First Owner,Diesel,14.5 Lakh*
540,Maruti Ertiga ZXI,ZXI,2015,"40,000 kms",First Owner,Petrol,6.5 Lakh*
541,Mahindra Scorpio VLX 2WD BSIII,VLX 2WD BSIII,2011,"1,15,000 kms",First Owner,Diesel,6.5 Lakh*
542,Honda Amaze SX i-VTEC,SX i VTEC,2017,"40,000 kms",Second Owner,Petrol,4.5 Lakh*
543,Honda City i-VTEC V,i-VTEC V,2018,"15,000 kms",First Owner,Petrol,9.5 Lakh*
544,Maruti Eeco 5 Seater AC BSIV,5 Seater AC BSIV,2012,"85,000 kms",First Owner,Petrol,2.3 Lakh*
545,Toyota Innova Crysta 2016-2020 2.4 GX MT,2.4 GX MT,2017,"45,000 kms",First Owner,Diesel,15.75 Lakh*
546,Renault Duster Adventure Edition RXZ AWD,Adventure Edition RXZ AWD,2017,"23,000 kms",Second Owner,Diesel,8.75 Lakh*
547,Toyota Corolla H2,H2,2004,"1,15,000 kms",First Owner,Petrol,2.25 Lakh*
548,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2009,"68,000 kms",Second Owner,Petrol,2.18 Lakh*
549,Tata Indica DLX,DLX,2007,"35,000 kms",First Owner,Diesel,1.25 Lakh*
550,Ford Freestyle Titanium Petrol BSIV,Titanium Petrol BSIV,2018,"22,000 kms",First Owner,Petrol,6.25 Lakh*
551,Maruti Vitara Brezza ZXI Plus AT,ZXI Plus AT,2021,"1,800 kms",First Owner,Petrol,11.99 Lakh*
552,Ford Endeavour 2.5L 4X2 MT,2.5L 4X2 MT,2015,"1,00,000 kms",Second Owner,Diesel,9.75 Lakh*
553,BMW 7 Series 730Ld DPE Signature,730Ld DPE Signature,2016,"54,000 kms",Second Owner,Diesel,56.5 Lakh*
554,Volkswagen Polo 1.0 MPI Comfortline,1.0 MPI Comfortline,2018,"32,000 kms",Second Owner,Petrol,5.85 Lakh*
555,Ford Ikon 1.6 ZXI,1.6 ZXI,2003,"1,00,000 kms",Third Owner,Petrol,1.1 Lakh*
556,Volkswagen Polo 2015-2019 GT TSI,GT TSI,2016,"57,007 kms",Second Owner,Petrol,6.25 Lakh*
557,Honda Jazz 1.2 VX i VTEC,1.2 VX i VTEC,2016,"62,576 kms",First Owner,Petrol,5.75 Lakh*
558,Toyota Innova 2.5 V Diesel 7-seater,2.5 V Diesel 7-seater,2009,"2,06,000 kms",First Owner,Diesel,7.5 Lakh*
559,Skoda Superb Elegance 2.0 TDI CR AT,Elegance 2.0 TDI CR AT,2014,"1,02,000 kms",First Owner,Diesel,10.5 Lakh*
560,Hyundai i10 Magna 1.1,Magna 1.1,2010,"52,000 kms",Second Owner,Petrol,2.5 Lakh*
561,Hyundai i20 Sportz 1.4 CRDi,Sportz 1.4 CRDi,2013,"70,436 kms",Second Owner,Diesel,3.75 Lakh*
562,Renault Duster 85PS Diesel RxL,85PS Diesel RxL,2013,"60,000 kms",Second Owner,Diesel,4.5 Lakh*
563,Maruti Swift ZDI BSIV,ZDI BSIV,2015,"40,000 kms",First Owner,Diesel,5.75 Lakh*
564,Maruti Baleno Delta 1.2,1.2 Delta,2017,"70,000 kms",First Owner,Petrol,5.5 Lakh*
565,Maruti Swift Dzire Tour S,S,2018,"50,000 kms",First Owner,CNG,5.35 Lakh*
566,Ford Classic 1.4 Duratorq CLXI,1.4 Duratorq CLXI,2013,"1,50,000 kms",First Owner,Diesel,3 Lakh*
567,Ford Figo Diesel Titanium,Diesel Titanium,2010,"70,000 kms",Third Owner,Diesel,2.65 Lakh*
568,Maruti Swift Dzire VXI,VXI,2013,"66,500 kms",First Owner,Petrol,4.75 Lakh*
569,Skoda Superb 2.8 V6 AT,2.8 V6 AT,2011,"1,28,000 kms",First Owner,Petrol,6.5 Lakh*
570,Hyundai i20 1.2 Spotz,1.2 Spotz,2010,"64,325 kms",First Owner,Petrol,3.4 Lakh*
571,Hyundai Grand i10 1.2 Kappa Asta,1.2 Kappa Asta,2018,"41,000 kms",Second Owner,Petrol,4.8 Lakh*
572,Hyundai i10 Era,Era,2012,"64,900 kms",First Owner,Petrol,2.85 Lakh*
573,Maruti Celerio VXI AT,VXI AT,2016,"11,000 kms",First Owner,Petrol,4.8 Lakh*
574,Maruti Alto K10 2010-2014 VXI,2010-2014 VXI,2012,"44,000 kms",First Owner,Petrol,2.25 Lakh*
575,Audi Q5 2.0 TDI,2.0 TDI,2012,"75,001 kms",Second Owner,Diesel,13.5 Lakh*
576,Volkswagen Polo 1.5 TDI Highline,1.5 TDI Highline,2013,"80,000 kms",Second Owner,Diesel,3.75 Lakh*
577,Toyota Fortuner 2016-2021 2.8 4WD AT BSIV,2.8 4WD AT BSIV,2017,"45,000 kms",First Owner,Diesel,30 Lakh*
578,Maruti Swift 1.3 VXI ABS,1.3 VXI ABS,2007,"1,60,000 kms",Third Owner,Petrol,1.8 Lakh*
579,Mercedes-Benz A Class A180 CDI,A180 CDI,2014,"48,000 kms",First Owner,Diesel,14.5 Lakh*
580,Maruti Ertiga ZXI,ZXI,2015,"40,000 kms",First Owner,Petrol,6.5 Lakh*
581,Mahindra Scorpio VLX 2WD BSIII,VLX 2WD BSIII,2011,"1,15,000 kms",First Owner,Diesel,6.5 Lakh*
582,Honda Amaze SX i-VTEC,SX i VTEC,2017,"40,000 kms",Second Owner,Petrol,4.5 Lakh*
583,Honda City i-VTEC V,i-VTEC V,2018,"15,000 kms",First Owner,Petrol,9.5 Lakh*
584,Maruti Eeco 5 Seater AC BSIV,5 Seater AC BSIV,2012,"85,000 kms",First Owner,Petrol,2.3 Lakh*
585,Toyota Innova Crysta 2016-2020 2.4 GX MT,2.4 GX MT,2017,"45,000 kms",First Owner,Diesel,15.75 Lakh*
586,Renault Duster Adventure Edition RXZ AWD,Adventure Edition RXZ AWD,2017,"23,000 kms",Second Owner,Diesel,8.75 Lakh*
587,Toyota Corolla H2,H2,2004,"1,15,000 kms",First Owner,Petrol,2.25 Lakh*
588,Hyundai i10 Magna 1.2 iTech SE,Magna 1.2 iTech SE,2009,"68,000 kms",Second Owner,Petrol,2.18 Lakh*
589,Tata Indica DLX,DLX,2007,"35,000 kms",First Owner,Diesel,1.25 Lakh*
590,Ford Freestyle Titanium Petrol BSIV,Titanium Petrol BSIV,2018,"22,000 kms",First Owner,Petrol,6.25 Lakh*
591,Maruti Vitara Brezza ZXI Plus AT,ZXI Plus AT,2021,"1,800 kms",First Owner,Petrol,11.99 Lakh*
592,Ford Endeavour 2.5L 4X2 MT,2.5L 4X2 MT,2015,"1,00,000 kms",Second Owner,Diesel,9.75 Lakh*
593,BMW 7 Series 730Ld DPE Signature,730Ld DPE Signature,2016,"54,000 kms",Second Owner,Diesel,56.5 Lakh*
594,Volkswagen Polo 1.0 MPI Comfortline,1.0 MPI Comfortline,2018,"32,000 kms",Second Owner,Petrol,5.85 Lakh*
595,Ford Ikon 1.6 ZXI,1.6 ZXI,2003,"1,00,000 kms",Third Owner,Petrol,1.1 Lakh*
596,Tata Indigo LX,LX,2008,"1,15,508 kms",First Owner,Diesel,1.25 Lakh*
597,Volkswagen Vento 1.5 TDI Comfortline,1.5 TDI Comfortline,2017,"9,000 kms",First Owner,Diesel,9.5 Lakh*
598,Hyundai i10 Sportz AT,Sportz AT,2011,"72,718 kms",Second Owner,Petrol,3.25 Lakh*
599,Chevrolet Spark 1.0 LS,1.0 LS,2008,"1,24,365 kms",Second Owner,Petrol,1.2 Lakh*
600,Renault Duster RXZ Turbo CVT,RXZ Turbo CVT,2021,"1,000 kms",Test Drive Car,Petrol,15 Lakh*
601,Hyundai Verna 1.6 VTVT AT SX,1.6 VTVT AT SX,2017,"25,851 kms",First Owner,Petrol,7.9 Lakh*
602,Chevrolet Spark 1.0,1.0,2009,"47,372 kms",Second Owner,Petrol,1.3 Lakh*
603,Hyundai Santro GLS I - Euro I,GLS I - Euro I,2008,"78,848 kms",First Owner,Petrol,1.75 Lakh*
604,Maruti A Star AT VXI,AT VXI,2011,"66,624 kms",Second Owner,Petrol,2.3 Lakh*
605,Nissan Magnite Turbo XV Premium,Turbo XV Premium,2021,"2,500 kms",First Owner,Petrol,8.5 Lakh*
606,Maruti Alto 800 LXI,LXI,2019,"5,000 kms",First Owner,Petrol,3 Lakh*
607,Volkswagen Polo 2015-2019 1.2 MPI Highline,1.2 MPI Highline,2016,"25,000 kms",First Owner,Petrol,5 Lakh*
608,Maruti Baleno Delta,Delta,2018,"13,980 kms",First Owner,Petrol,6.5 Lakh*
609,Honda City 1.5 S MT,1.5 S MT,2018,"53,093 kms",First Owner,Petrol,7.5 Lakh*
610,Ford Aspire 1.5 TDCi Titanium,1.5 TDCi Titanium,2017,"37,578 kms",First Owner,Diesel,5.5 Lakh*
611,Maruti Ciaz Alpha BSIV,Alpha BSIV,2019,"12,800 kms",First Owner,Petrol,8.75 Lakh*
612,Hyundai Creta 1.4 CRDi S,1.4 CRDi S,2017,"60,000 kms",First Owner,Diesel,11 Lakh*
613,Ford Fiesta Titanium 1.5 TDCi,Titanium 1.5 TDCi,2013,"55,000 kms",First Owner,Diesel,4.6 Lakh*
614,Mahindra XUV500 W8 2WD,W8 2WD,2012,"1,76,000 kms",First Owner,Diesel,7.25 Lakh*
615,Nissan Sunny XV,XV,2013,"1,35,000 kms",First Owner,Petrol,4.25 Lakh*
616,Hyundai Verna XXi (Petrol),XXi (Petrol),2008,"80,000 kms",Second Owner,Petrol,1.6 Lakh*
617,Renault Duster 85PS Diesel RxL,85PS Diesel RxL,2014,"75,000 kms",First Owner,Diesel,4.67 Lakh*
618,Mahindra Quanto C8,C8,2012,"47,000 kms",First Owner,Diesel,4.3 Lakh*
619,Toyota Corolla Altis 1.8 J,1.8 J,2013,"44,000 kms",Second Owner,Petrol,5.95 Lakh*
620,Maruti Alto LXi BSIII,LXi BSIII,2009,"52,922 kms",First Owner,Petrol,1.7 Lakh*
621,Skoda Superb 2.8 V6 AT,2.8 V6 AT,2011,"1,28,000 kms",First Owner,Petrol,6.5 Lakh*
622,Maruti Wagon R VXI,VXI,2017,"24,147 kms",First Owner,Petrol,4.3 Lakh*
623,Hyundai Grand i10 Asta,Asta,2016,"66,000 kms",First Owner,Petrol,4.95 Lakh*
624,Hyundai Verna 1.6 VTVT SX,1.6 VTVT SX,2016,"19,000 kms",First Owner,Petrol,6.95 Lakh*
625,Mini Cooper S,S,2019,"22,000 kms",First Owner,Petrol,41 Lakh*
626,Honda BRV i-VTEC V MT,i-VTEC V MT,2018,"43,000 kms",First Owner,Petrol,9.35 Lakh*
627,Toyota Innova 2.5 G (Diesel) 7 Seater,2.5 G (Diesel) 7 Seater,2014,"65,000 kms",First Owner,Diesel,12 Lakh*
628,Maruti Wagon R VXI,VXI,2009,"70,000 kms",First Owner,Petrol,2.4 Lakh*
629,Hyundai EON Era Plus Option,Era Plus Option,2016,"41,671 kms",First Owner,Petrol,3.33 Lakh*
630,Toyota Fortuner 4x4 MT,4x4 MT,2016,"75,000 kms",First Owner,Diesel,21.5 Lakh*
631,Mercedes-Benz S-Class 320 CDI,320 CDI,2009,"80,000 kms",First Owner,Diesel,20 Lakh*
632,Hyundai Santro Xing GLS,GLS,2012,"22,000 kms",First Owner,Petrol,3.25 Lakh*
633,Ford Fiesta 1.4 ZXi Duratec,1.4 ZXi Duratec,2007,"52,065 kms",Second Owner,Petrol,1.7 Lakh*
634,Toyota Fortuner 4x2 Manual,4x2 Manual,2014,"85,000 kms",Second Owner,Diesel,15.75 Lakh*
635,Hyundai i20 1.2 Sportz Option,1.2 Sportz Option,2011,"45,000 kms",First Owner,Petrol,3.75 Lakh*
636,Hyundai i20 Sportz Plus BSIV,Sportz Plus BSIV,2019,"21,000 kms",First Owner,Petrol,7.4 Lakh*
637,Ford Figo Petrol EXI,Petrol EXI,2013,"36,542 kms",First Owner,Petrol,3 Lakh*
638,Ford Aspire 1.5 TDCi Sports Edition,1.5 TDCi Sports Edition,2018,"35,000 kms",First Owner,Diesel,6.3 Lakh*
639,Mahindra XUV500 W9,W9,2019,"23,000 kms",First Owner,Diesel,16.5 Lakh*
640,Volkswagen Vento Diesel Trendline,Diesel Trendline,2012,"1,06,000 kms",Second Owner,Diesel,2.8 Lakh*
641,Isuzu MU-X 2017-2020 4X2,4X2,2018,"70,000 kms",First Owner,Diesel,21 Lakh*
642,Volkswagen Ameo 1.2 MPI Comfortline,1.2 MPI Comfortline,2017,"10,000 kms",First Owner,Petrol,5.25 Lakh*
643,Tata Zest Revotron 1.2 XT,Revotron 1.2 XT,2017,"50,000 kms",First Owner,Petrol,4.25 Lakh*
644,Renault Triber RXT,RXT,2020,"5,000 kms",First Owner,Petrol,7.35 Lakh*
645,Volkswagen Jetta 2.0L TDI Highline,2.0L TDI Highline,2015,"50,000 kms",Fourth & Above Owner,Diesel,6.25 Lakh*
646,Toyota Innova Crysta 2016-2020 2.8 ZX AT BSIV,2.8 ZX AT BSIV,2019,"12,100 kms",First Owner,Diesel,25 Lakh*
647,Honda City V CVT,V CVT,2019,"23,000 kms",First Owner,Petrol,9.9 Lakh*
648,Maruti Swift Dzire VXI 1.2,VXI 1.2,2020,"10,000 kms",First Owner,Petrol,6.9 Lakh*
649,Mahindra XUV500 W11 AT BSIV,W11 AT BSIV,2018,"45,000 kms",First Owner,Diesel,17.75 Lakh*
650,Maruti A Star AT VXI,AT VXI,2012,"55,000 kms",First Owner,Petrol,3.15 Lakh*
651,Mahindra XUV500 W6 2WD,W6 2WD,2017,"88,500 kms",First Owner,Diesel,10.5 Lakh*
652,Volkswagen Ameo 1.5 TDI Highline Plus 16,1.5 TDI Highline Plus 16,2018,"25,000 kms",First Owner,Diesel,7.5 Lakh*
653,Ford EcoSport Titanium Plus AT,Titanium Plus AT,2019,"7,726 kms",Second Owner,Petrol,9.5 Lakh*
654,Maruti Swift VXI,VXI,2019,"11,000 kms",First Owner,Petrol,6.4 Lakh*
655,Hyundai Santro Sportz BSIV,Sportz BSIV,2019,"2,000 kms",First Owner,Petrol,5.45 Lakh*
656,Hyundai Xcent 1.1 CRDi SX Option,1.1 CRDi SX Option,2015,"52,000 kms",Second Owner,Diesel,4.5 Lakh*
657,Toyota Innova Crysta 2016-2020 2.4 VX MT,2.4 VX MT,2017,"39,000 kms",First Owner,Diesel,19.25 Lakh*
658,Tata Nano Twist XT,Twist XT,2015,"18,200 kms",First Owner,Petrol,1.7 Lakh*
659,Hyundai i10 Magna,Magna,2010,"1,00,000 kms",First Owner,Petrol,2.25 Lakh*
660,Mahindra Scorpio VLX 2WD BSIII,VLX 2WD BSIII,2011,"1,15,000 kms",First Owner,Diesel,6.5 Lakh*
661,Hyundai Accent Executive LPG,Executive LPG,2010,"1,25,000 kms",Second Owner,LPG,2.1 Lakh*
662,Tata Nano LX,LX,2012,"19,000 kms",First Owner,Petrol,1.25 Lakh*
663,Maruti Alto LXi,LXi,2008,"73,953 kms",First Owner,Petrol,1.7 Lakh*
664,Hyundai Verna VTVT 1.6 SX,VTVT 1.6 SX,2018,"35,000 kms",First Owner,Petrol,8.75 Lakh*
665,Hyundai Accent GLE,GLE,2008,"40,000 kms",Second Owner,Petrol,1.5 Lakh*
666,Honda City i VTEC CVT VX,i VTEC CVT VX,2015,"25,000 kms",First Owner,Petrol,7.25 Lakh*
667,Hyundai Verna 1.6 SX CRDI (O) AT,1.6 SX CRDI (O) AT,2014,"38,000 kms",First Owner,Diesel,7 Lakh*
668,Mahindra Xylo H4 ABS,H4 ABS,2017,"1,20,000 kms",First Owner,Diesel,7.65 Lakh*
669,Datsun RediGO T Option,T Option,2016,"13,000 kms",First Owner,Petrol,2.75 Lakh*
670,Datsun RediGO A,A,2019,"20,000 kms",First Owner,Petrol,2.5 Lakh*
671,Mahindra XUV500 W6 2WD,W6 2WD,2015,"1,00,000 kms",First Owner,Diesel,11 Lakh*
672,Maruti Ciaz ZDi,ZDi,2017,"89,568 kms",First Owner,Diesel,8 Lakh*
673,Mercedes-Benz B Class B180 Sports,B180 Sports,2014,"90,000 kms",First Owner,Petrol,11 Lakh*
674,Toyota Innova 2.5 V Diesel 8-seater,2.5 V Diesel 8-seater,2008,"2,30,000 kms",Second Owner,Diesel,6 Lakh*
675,Honda Amaze S CVT Petrol BSIV,S CVT Petrol BSIV,2016,"15,203 kms",First Owner,Petrol,6 Lakh*
676,Skoda Rapid 1.6 MPI AT Elegance,1.6 MPI AT Elegance,2015,"40,000 kms",First Owner,Petrol,6.25 Lakh*
677,Renault KWID 1.0 RXT AMT Opt,1.0 RXT AMT Opt,2020,"15,000 kms",First Owner,Petrol,4.99 Lakh*
678,Mahindra Verito 1.5 D2 BSIV,1.5 D2 BSIV,2012,"1,20,000 kms",Second Owner,Diesel,2.5 Lakh*
679,Tata Harrier XZA Plus AT,XZA Plus AT,2021,"2,500 kms",First Owner,Diesel,25 Lakh*
680,Volkswagen Vento 1.0 TSI Highline,1.0 TSI Highline,2019,"18,000 kms",First Owner,Petrol,9.75 Lakh*
681,Maruti Gypsy W410 4X4,W410 4X4,2008,"10,000 kms",First Owner,Petrol,4.5 Lakh*
682,Hyundai Getz 1.3 GVS,1.3 GVS,2009,"62,208 kms",Second Owner,Petrol,1.75 Lakh*
683,Volkswagen Polo 1.0 MPI Comfortline,1.0 MPI Comfortline,2018,"32,000 kms",Second Owner,Petrol,5.85 Lakh*
684,Hyundai EON Era Plus,Era Plus,2013,"70,000 kms",Second Owner,Petrol,2.4 Lakh*
685,BMW X3 3.0si,3.0si,2009,"1,35,000 kms",First Owner,Petrol,8.5 Lakh*
686,Maruti Ciaz ZDi,ZDi,2015,"60,000 kms",First Owner,Diesel,7.5 Lakh*
687,Tata Tiago 1.2 Revotron XT,1.2 Revotron XT,2018,"41,000 kms",First Owner,Petrol,4.95 Lakh*
688,Tata Tiago 1.05 Revotorq XE,1.05 Revotorq XE,2018,"25,000 kms",First Owner,Diesel,5.25 Lakh*
689,Ford Figo Petrol ZXI,Petrol ZXI,2010,"48,805 kms",Second Owner,Petrol,1.98 Lakh*
690,Hyundai Verna 1.6 SX VTVT,1.6 SX VTVT,2014,"80,000 kms",First Owner,Petrol,5.5 Lakh*
